Feature,Importance
No_of_Votes,0.4895363630149962
Meta_score,0.1597683724566841
Gross,0.1066275007660679
Runtime,0.08851009879887549
Genre_Drama,0.007374560113240393
Director_Charles Chaplin,0.006366286186313876
"Genre_Drama, War",0.005942837186994416
Director_Billy Wilder,0.005580417816279496
Director_Other,0.005134236489808391
Director_Sergio Leone,0.004595377932727863
"Genre_Drama, Family, Sport",0.003681797470921254
Director_Frank Capra,0.0036569310730300624
"Genre_Biography, Drama, History",0.003610330279572096
"Genre_Animation, Adventure, Family",0.0031308405466871146
"Genre_Comedy, Crime, Drama",0.003072931843201609
"Genre_Crime, Drama",0.002806487185967538
"Genre_Animation, Adventure, Comedy",0.0027403578275857886
"Genre_Drama, Family, Fantasy",0.002652493912728726
"Genre_Animation, Drama, War",0.002617506661131194
"Genre_Comedy, Drama, Thriller",0.0024457389605218064
Director_Sidney Lumet,0.002214280249710087
"Genre_Crime, Drama, Thriller",0.0021748120987252475
Director_Akira Kurosawa,0.002110308371595135
"Genre_Drama, Family",0.002098131233772481
"Genre_Action, Adventure, Drama",0.0020418183439604638
"Genre_Drama, Western",0.0020350841875415473
"Genre_Crime, Drama, Mystery",0.001979082843194237
"Genre_Action, Crime, Drama",0.0019426651789246085
"Genre_Animation, Drama, Fantasy",0.0018906867880239943
"Genre_Biography, Comedy, Drama",0.001872758761345657
Genre_Western,0.001743340632338042
"Genre_Drama, Romance",0.0017414124516099334
"Genre_Drama, Thriller, War",0.0017060954218682863
Director_Alfred Hitchcock,0.0014645261997920358
"Genre_Comedy, Drama, Romance",0.0014598744644305011
"Genre_Comedy, Drama",0.0013921522500885952
Genre_Comedy,0.0013401436311888495
"Genre_Drama, Music, Musical",0.0013351888201149408
"Genre_Action, Adventure, Sci-Fi",0.0013098081474616726
Director_Steven Spielberg,0.0012963169138935121
"Genre_Animation, Action, Adventure",0.0012412532000995794
Director_Stanley Kubrick,0.0012067542809531856
"Genre_Drama, Fantasy, Horror",0.0011874184517720598
"Genre_Drama, Fantasy, Music",0.0011514220361879427
Director_Sam Mendes,0.001092188216774156
"Genre_Adventure, Drama",0.0010682190153563024
Director_Isao Takahata,0.0010597822075025273
Director_Rajkumar Hirani,0.001025180676321552
Director_James Cameron,0.001024313713266645
Director_Francis Ford Coppola,0.0009737841226035221
"Genre_Biography, Crime, Drama",0.0009702183787153736
Director_Tom McCarthy,0.0009171924236185377
Director_Bong Joon Ho,0.0009146531332197175
Director_Giuseppe Tornatore,0.0009110766451530227
"Genre_Drama, Music",0.0009045743124526135
"Genre_Action, Adventure, Crime",0.0008445226364159814
Director_Ingmar Bergman,0.0008188617237609796
"Genre_Drama, Sport",0.0008081774735638423
"Genre_Biography, Drama",0.0008007112191163437
"Genre_Animation, Adventure, Drama",0.0007679659339218115
"Genre_Action, Drama, War",0.0007580545355567011
Director_Martin Scorsese,0.0007383691381470174
"Genre_Drama, Thriller",0.0007085057570145089
Director_Richard Linklater,0.0007031380980856801
"Genre_Drama, Mystery, War",0.000702582427285628
"Genre_Horror, Mystery, Sci-Fi",0.0006942766438583876
"Genre_Adventure, Biography, Drama",0.0006689489900541996
Director_Andrey Zvyagintsev,0.0006396737994895772
"Genre_Action, Drama, Mystery",0.0006182966860985181
Director_Quentin Tarantino,0.0006065769264014492
"Genre_Action, Sci-Fi",0.0006035889680601639
"Genre_Comedy, War",0.0005935801076308055
"Genre_Action, Drama",0.0005817843581608406
"Genre_Action, Adventure, Fantasy",0.0005665637855729651
Director_Alfonso Cuarón,0.0005587267667040534
"Genre_Action, Biography, Drama",0.0005382397326411229
Director_Ron Howard,0.0005234264100654435
Director_Joel Coen,0.0005210414427924148
"Genre_Action, Drama, Sport",0.0005086375050990939
"Genre_Crime, Thriller",0.0004978688208953076
Director_Robert Zemeckis,0.0004790714828001744
"Genre_Comedy, Romance",0.0004692540016545474
Director_Chan-wook Park,0.0004601669471145807
Director_Terrence Malick,0.00043254247156152974
Director_Mel Gibson,0.00042520587657222036
Director_Clint Eastwood,0.00042209077232639784
Director_David Fincher,0.00038965693966649956
"Genre_Crime, Drama, Romance",0.0003833365432742687
Director_Spike Jonze,0.0003757767919334007
Director_Franklin J. Schaffner,0.00036317254572746846
"Genre_Action, Adventure, Comedy",0.0003552622720082536
Director_Guy Ritchie,0.00034997153564087874
Director_Luis Buñuel,0.0003489757520206401
Director_Emir Kusturica,0.00034836075897971537
"Genre_Drama, Family, Musical",0.0003341223918164854
"Genre_Comedy, Crime, Sport",0.00032437118558964695
"Genre_Adventure, Comedy, Sci-Fi",0.00032369601710861373
"Genre_Action, Adventure",0.0003081582430407558
"Genre_Biography, Drama, Sport",0.0002980226387431243
